City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,nouadhibou,20.931,-17.0347,26.99,44,100,2.57,MR,1701875699
327,vila velha,-20.3297,-40.2925,30.97,70,20,7.2,BR,1701875699
328,zamora,-4.0692,-78.9567,28.58,78,100,1.57,EC,1701875700
329,akureyri,65.6835,-18.0878,-16.04,85,0,1.54,IS,1701875700
330,karratha,-20.7377,116.8463,28.46,68,5,5.42,AU,1701875700
331,codajas,-3.8367,-62.0569,34.6,42,57,2.33,BR,1701875700
332,berezovo,63.9381,65.0419,-32.52,91,86,2.15,RU,1701875701
333,porto novo,6.4965,2.6036,30.9,58,41,4.83,BJ,1701875701
334,kingston,17.997,-76.7936,31.25,65,1,0.45,JM,1701875641
335,egilsstadir,65.2653,-14.3948,-12.05,92,75,1.54,IS,1701875703
336,malango,-2.9627,119.9001,20.95,97,100,1.04,ID,1701875703
337,moshi,-3.35,37.3333,24.99,76,93,3.26,TZ,1701875704
338,magadan,59.5667,150.8,-18.61,67,100,5.93,RU,1701875706
339,boguchany,58.3814,97.4531,-31.19,93,100,3.13,RU,1701875707
340,cabo san lucas,22.8909,-109.9124,23.06,69,40,3.6,MX,1701875574
341,campos altos,-19.6961,-46.1714,29.62,47,53,2.7,BR,1701875708
342,laojunmiao,39.8333,97.7333,2.71,21,11,3.33,CN,1701875709
343,mokopane,-24.1944,29.0097,28.17,37,20,6.79,ZA,1701875709
344,kismayo,-0.3582,42.5454,28.04,72,60,4.51,SO,1701875710
345,manado,1.487,124.8455,25.43,94,40,2.06,ID,1701875710
346,san vicente de chucuri,6.881,-73.4098,27.65,65,85,1.24,CO,1701875711
347,veraval,20.9,70.3667,26.9,64,88,1.58,IN,1701875711
348,san pedro,14.35,121.0167,27.95,87,75,1.54,PH,1701875712
349,ilave,-16.0833,-69.6667,15.31,47,100,3.83,PE,1701875712
350,thinadhoo,0.5333,72.9333,28.04,80,76,3.46,MV,1701875712
351,murakami,38.2333,139.4833,8.68,76,100,2.43,JP,1701875713
352,eyl,7.9803,49.8164,25.78,69,97,11.02,SO,1701875713
353,grahamstown,-33.3042,26.5328,16.64,78,100,9.95,ZA,1701875714
354,alesund,62.4723,6.1549,1.53,64,20,5.14,NO,1701875715
355,ujae,8.9322,165.7642,28.08,71,80,9.75,MH,1701875715
356,huron,41.1501,-82.5499,1.1,85,67,4.34,US,1701875716
357,labytnangi,66.6572,66.4183,-29.43,100,92,0.6,RU,1701875716
358,emerald,-23.5333,148.1667,22.97,75,0,5.95,AU,1701875717
359,sanford,28.8006,-81.2731,17.1,57,0,5.14,US,1701875418
